# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2372.514,10173.500,-59.8415,43.9034,92.008,-59.5415,43.8922,89.999,0.3001,-0.0112,-2.008
2372.795,10173.600,-59.8422,43.9248,92.007,-59.5415,43.9137,89.998,0.3008,-0.0111,-2.008
2373.101,10173.700,-59.8429,43.9457,92.007,-59.5415,43.9346,89.998,0.3014,-0.0111,-2.008
2373.421,10173.800,-59.8436,43.9661,92.007,-59.5415,43.9551,89.998,0.3021,-0.0110,-2.008
2373.705,10173.900,-59.8443,43.9860,92.006,-59.5415,43.9751,89.998,0.3028,-0.0109,-2.008
2373.988,10174.000,-59.8449,44.0054,92.006,-59.5415,43.9946,89.998,0.3035,-0.0109,-2.008
2374.270,10174.100,-59.8456,44.0244,92.006,-59.5415,44.0136,89.997,0.3041,-0.0108,-2.008
2374.551,10174.200,-59.8463,44.0430,92.004,-59.5415,44.0323,89.996,0.3048,-0.0107,-2.008
2374.851,10174.300,-59.8469,44.0611,92.005,-59.5415,44.0504,89.997,0.3055,-0.0107,-2.008
2375.178,10174.400,-59.8476,44.0788,92.004,-59.5415,44.0682,89.996,0.3061,-0.0106,-2.008
2375.489,10174.500,-59.8482,44.0963,92.004,-59.5415,44.0857,89.996,0.3067,-0.0106,-2.008
2375.795,10174.600,-59.8488,44.1138,92.004,-59.5415,44.1032,89.996,0.3073,-0.0106,-2.008
2376.096,10174.700,-59.8494,44.1313,92.004,-59.5415,44.1207,89.996,0.3079,-0.0106,-2.008
2376.396,10174.800,-59.8500,44.1487,92.004,-59.5415,44.1403,89.996,0.3086,-0.0084,-2.009
2376.696,10174.900,-59.8506,44.1662,92.005,-59.5415,44.1557,89.997,0.3092,-0.0105,-2.008
2377.000,10175.000,-59.8512,44.1837,92.006,-59.5415,44.1732,89.997,0.3098,-0.0105,-2.008
2377.292,10175.100,-59.8518,44.2012,92.007,-59.5414,44.1907,89.998,0.3104,-0.0105,-2.009
2377.603,10175.200,-59.8525,44.2187,92.007,-59.5414,44.2082,89.998,0.3110,-0.0105,-2.008
2377.892,10175.300,-59.8531,44.2362,92.007,-59.5414,44.2257,89.998,0.3116,-0.0105,-2.008
